ID,Accession,RPM,Chromosome,Start,End,Strand,Confidence,Fetch
"hsa-mir-514a-3",MI0003200,"3.23e+03",chrX,147284641,147284728,"-","",""
"hsa-mir-514b",MI0014251,404,chrX,147250151,147250230,"-","",""
"hsa-mir-515-1",MI0003144,118,chr19,53679003,53679085,"+","-",""
"hsa-mir-515-2",MI0003147,116,chr19,53685009,53685091,"+","-",""
"hsa-mir-516a-1",MI0003180,518,chr19,53756741,53756830,"+","-",""
"hsa-mir-516a-2",MI0003181,464,chr19,53761133,53761222,"+","-",""
"hsa-mir-516b-1",MI0003172,193,chr19,53736845,53736934,"+","-",""
"hsa-mir-516b-2",MI0003167,"1.84e+03",chr19,53725442,53725526,"+","-",""
"hsa-mir-517a",MI0003161,169,chr19,53712268,53712354,"+","-",""
"hsa-mir-517b",MI0003165,193,chr19,53721076,53721142,"+","-",""
"hsa-mir-517c",MI0003174,176,chr19,53741313,53741407,"+","-",""
"hsa-mir-518a-1",MI0003170,125,chr19,53731006,53731090,"+","-",""
"hsa-mir-518a-2",MI0003173,118,chr19,53739333,53739419,"+","-",""
"hsa-mir-518b",MI0003156,148,chr19,53702737,53702819,"+","-",""
"hsa-mir-518c",MI0003159,83.3,chr19,53708735,53708835,"+","-",""
"hsa-mir-518d",MI0003171,190,chr19,53734877,53734963,"+","-",""
"hsa-mir-518e",MI0003169,205,chr19,53729838,53729925,"+","-",""
"hsa-mir-518f",MI0003154,193,chr19,53700015,53700101,"+","-",""
"hsa-mir-519a-1",MI0003178,318,chr19,53752397,53752481,"+","",""
"hsa-mir-519a-2",MI0003182,347,chr19,53762344,53762430,"+","-",""
"hsa-mir-519b",MI0003151,359,chr19,53695213,53695293,"+","-",""
"hsa-mir-519c",MI0003148,218,chr19,53686469,53686555,"+","-",""
"hsa-mir-519d",MI0003162,199,chr19,53713347,53713434,"+","-",""
"hsa-mir-519e",MI0003145,"1.12e+03",chr19,53679940,53680023,"+","-",""
"hsa-mir-520a",MI0003149,45.1,chr19,53690881,53690965,"+","-",""
"hsa-mir-520b",MI0003155,257,chr19,53701227,53701287,"+","-",""
"hsa-mir-520c",MI0003158,362,chr19,53707453,53707539,"+","-",""
"hsa-mir-520d",MI0003164,141,chr19,53720096,53720182,"+","-",""
"hsa-mir-520e",MI0003143,95.4,chr19,53675711,53675797,"+","-",""
"hsa-mir-520f",MI0003146,276,chr19,53682159,53682245,"+","-",""
"hsa-mir-520g",MI0003166,136,chr19,53722166,53722255,"+","-",""
"hsa-mir-520h",MI0003175,127,chr19,53742512,53742599,"+","-",""
"hsa-mir-521-1",MI0003176,238,chr19,53748636,53748722,"+","-",""
"hsa-mir-521-2",MI0003163,284,chr19,53716594,53716680,"+","-",""
"hsa-mir-522",MI0003177,226,chr19,53751211,53751297,"+","-",""
"hsa-mir-523",MI0003153,190,chr19,53698385,53698471,"+","-",""
"hsa-mir-524",MI0003160,133,chr19,53711002,53711088,"+","-",""
"hsa-mir-525",MI0003152,144,chr19,53697533,53697617,"+","-",""
"hsa-mir-526a-1",MI0003157,192,chr19,53706252,53706336,"+","-",""
"hsa-mir-526a-2",MI0003168,170,chr19,53726922,53726986,"+","-",""
"hsa-mir-526b",MI0003150,216,chr19,53694393,53694475,"+","-",""
"hsa-mir-527",MI0003179,199,chr19,53754018,53754102,"+","-",""
"hsa-mir-532",MI0003205,"2.28e+03",chrX,50003148,50003238,"+","",""
"hsa-mir-539",MI0003514,452,chr14,101047321,101047398,"+","",""
"hsa-mir-541",MI0005539,60.1,chr14,101064495,101064578,"+","-",""
"hsa-mir-542",MI0003686,"1.24e+03",chrX,134541341,134541437,"-","",""
"hsa-mir-543",MI0005565,355,chr14,101031987,101032064,"+","",""
"hsa-mir-544a",MI0003515,83,chr14,101048658,101048748,"+","-",""
"hsa-mir-544b",MI0014159,100,chr3,124732439,124732516,"+","-",""
"hsa-mir-545",MI0003516,157,chrX,74287104,74287209,"-","",""
"hsa-mir-548a-1",MI0003593,197,chr6,18571784,18571880,"+","-",""
"hsa-mir-548a-2",MI0003598,202,chr6,135239160,135239256,"+","-",""
"hsa-mir-548a-3",MI0003612,97,chr8,104484369,104484465,"-","",""
"hsa-mir-548aa-1",MI0016689,136,chr8,123348034,123348130,"+","-",""
"hsa-mir-548aa-2",MI0016690,431,chr17,67471489,67471585,"+","-",""
"hsa-mir-548ab",MI0016752,195,chr3,103524033,103524116,"-","-",""
"hsa-mir-548ac",MI0016762,196,chr1,116560024,116560111,"-","-",""
"hsa-mir-548ad",MI0016770,294,chr2,35471405,35471486,"+","-",""
"hsa-mir-548ae-1",MI0016779,64.3,chr2,184378975,184379044,"+","-",""
"hsa-mir-548ae-2",MI0016780,344,chr5,58530043,58530109,"-","-",""
"hsa-mir-548ag-1",MI0016793,99.7,chr4,60922619,60922684,"+","-",""
"hsa-mir-548ag-2",MI0016794,109,chr20,60564562,60564625,"+","-",""
"hsa-mir-548ah",MI0016796,67.2,chr4,76575551,76575626,"+","-",""
"hsa-mir-548ai",MI0016813,145,chr6,99124609,99124696,"+","-",""
"hsa-mir-548aj-1",MI0016814,81.6,chr6,132115192,132115263,"-","-",""
"hsa-mir-548aj-2",MI0016815,165,chrX,38023895,38023986,"-","-",""
"hsa-mir-548ak",MI0016840,146,chr10,12130760,12130816,"-","-",""
"hsa-mir-548al",MI0016851,112,chr11,74399237,74399333,"+","-",""
"hsa-mir-548am",MI0016904,316,chrX,16627012,16627085,"-","-",""
"hsa-mir-548an",MI0016907,91.8,chrX,106639814,106639896,"+","-",""
"hsa-mir-548ao",MI0017871,106,chr8,41271048,41271143,"-","-",""
"hsa-mir-548ap",MI0017875,155,chr15,85825635,85825730,"+","-",""
"hsa-mir-548aq",MI0019130,100,chr3,185767847,185767904,"-","-",""
"hsa-mir-548ar",MI0019131,109,chr13,114244505,114244561,"+","",""
"hsa-mir-548as",MI0019132,111,chr13,92490163,92490220,"+","-",""
"hsa-mir-548at",MI0019137,56.3,chr17,42494773,42494830,"+","-",""
"hsa-mir-548au",MI0019145,230,chr9,93594841,93594894,"+","-",""
"hsa-mir-548av",MI0019152,69.2,chr18,72853321,72853382,"-","-",""
"hsa-mir-548aw",MI0019283,58.6,chr9,132945707,132945771,"+","-",""
"hsa-mir-548ax",MI0019286,101,chrX,11318614,11318686,"-","-",""
"hsa-mir-548ay",MI0022210,334,chr3,32506283,32506389,"-","-",""
"hsa-mir-548az",MI0022212,214,chr8,119325171,119325265,"+","-",""
"hsa-mir-548b",MI0003596,282,chr6,119069047,119069143,"-","-",""
"hsa-mir-548ba",MI0025747,4.23,chr2,49059603,49059658,"+","-",""
"hsa-mir-548bb",MI0029321,4.32,chr3,60617805,60617870,"-","-",""
"hsa-mir-548c",MI0003630,331,chr12,64622509,64622605,"+","-",""
"hsa-mir-548d-1",MI0003668,341,chr8,123348034,123348130,"-","",""
"hsa-mir-548d-2",MI0003671,335,chr17,67471489,67471585,"-","",""
"hsa-mir-548e",MI0006344,102,chr10,110988926,110989013,"+","",""
"hsa-mir-548f-1",MI0006374,129,chr10,54607874,54607957,"-","-",""
"hsa-mir-548f-2",MI0006375,61.7,chr2,212426263,212426360,"-","-",""
"hsa-mir-548f-3",MI0006376,59.6,chr5,110513829,110513915,"-","-",""
"hsa-mir-548f-4",MI0006377,187,chr7,147378017,147378121,"-","-",""
"hsa-mir-548f-5",MI0006378,28.2,chrX,32641474,32641559,"-","-",""
"hsa-mir-548g",MI0006395,109,chr4,147344629,147344717,"-","-",""
"hsa-mir-548h-1",MI0006411,113,chr14,64095024,64095125,"-","-",""
"hsa-mir-548h-2",MI0006412,169,chr16,11306440,11306527,"-","-",""
"hsa-mir-548h-3",MI0006413,367,chr17,13543529,13543646,"-","-",""
"hsa-mir-548h-4",MI0006414,251,chr8,27048853,27048963,"-","",""
"hsa-mir-548h-5",MI0016751,106,chr6,131792172,131792231,"+","-",""
"hsa-mir-548i-1",MI0006421,226,chr3,125790404,125790552,"-","-",""
"hsa-mir-548i-2",MI0006422,227,chr4,9556168,9556316,"-","-",""
"hsa-mir-548i-3",MI0006423,223,chr8,8088941,8089089,"-","-",""
"hsa-mir-548i-4",MI0006424,205,chrX,84225752,84225828,"-","-",""
"hsa-mir-548j",MI0006345,114,chr22,26555212,26555323,"-","",""
"hsa-mir-548k",MI0006354,157,chr11,70283955,70284070,"+","-",""
"hsa-mir-548l",MI0006361,86.3,chr11,94466495,94466580,"-","-",""
"hsa-mir-548m",MI0006400,49.4,chrX,95063141,95063226,"-","-",""
"hsa-mir-548n",MI0006399,232,chr7,34940760,34940834,"-","-",""
"hsa-mir-548o",MI0006402,33.2,chr7,102405742,102405855,"-","-",""
"hsa-mir-548o-2",MI0016746,288,chr20,38516563,38516632,"+","",""
"hsa-mir-548p",MI0006420,60.2,chr5,100816482,100816565,"-","-",""
"hsa-mir-548q",MI0010637,111,chr10,12725254,12725353,"-","-",""
"hsa-mir-548s",MI0014141,52.1,chr2,11767444,11767525,"+","-",""
"hsa-mir-548t",MI0014164,116,chr4,173268160,173268233,"+","-",""
"hsa-mir-548u",MI0014168,45.8,chr6,57390132,57390212,"+","-",""
"hsa-mir-548v",MI0014174,160,chr8,17681578,17681657,"-","",""
"hsa-mir-548w",MI0014222,157,chr16,26025237,26025310,"+","-",""
"hsa-mir-548x",MI0014244,129,chr21,18686090,18686164,"-","-",""
"hsa-mir-548x-2",MI0016833,187,chr13,65966330,65966429,"-","-",""
"hsa-mir-548y",MI0016595,81.8,chr14,47760995,47761104,"-","-",""
"hsa-mir-548z",MI0016688,213,chr12,64622509,64622605,"-","-",""
"hsa-mir-549a",MI0003679,80.9,chr15,80841978,80842073,"-","-",""
"hsa-mir-550a-1",MI0003600,329,chr7,30289794,30289890,"+","-",""
"hsa-mir-550a-2",MI0003601,329,chr7,32732981,32733077,"+","-",""
"hsa-mir-550a-3",MI0003762,319,chr7,29680734,29680828,"-","-",""
"hsa-mir-550b-1",MI0016686,147,chr7,30289794,30289890,"-","-",""
"hsa-mir-550b-2",MI0016687,153,chr7,32732981,32733077,"-","-",""
"hsa-mir-551a",MI0003556,117,chr1,3560695,3560790,"-","-",""
"hsa-mir-551b",MI0003575,237,chr3,168551854,168551949,"+","",""
"hsa-mir-552",MI0003557,72.2,chr1,34669599,34669694,"-","-",""
"hsa-mir-553",MI0003558,16.4,chr1,100281241,100281308,"+","-",""
"hsa-mir-554",MI0003559,10.5,chr1,151545796,151545891,"+","-",""
"hsa-mir-555",MI0003561,30.6,chr1,155346350,155346445,"-","-",""
"hsa-mir-556",MI0003562,71.7,chr1,162342546,162342640,"+","",""
"hsa-mir-557",MI0003563,121,chr1,168375524,168375621,"+","-",""
"hsa-mir-558",MI0003564,446,chr2,32532153,32532246,"+","-",""
"hsa-mir-559",MI0003565,341,chr2,47377675,47377770,"+","-",""
"hsa-mir-561",MI0003567,75.7,chr2,188297492,188297588,"+","",""
"hsa-mir-562",MI0003568,190,chr2,232172653,232172747,"+","-",""
"hsa-mir-563",MI0003569,444,chr3,15873771,15873849,"+","-",""
"hsa-mir-564",MI0003570,56.9,chr3,44861888,44861981,"+","-",""
"hsa-mir-566",MI0003572,"2.13e+03",chr3,50173326,50173419,"+","-",""
"hsa-mir-567",MI0003573,"1.54e+03",chr3,112112801,112112898,"+","-",""
"hsa-mir-568",MI0003574,83.7,chr3,114316475,114316569,"-","-",""
"hsa-mir-569",MI0003576,16.9,chr3,171106664,171106759,"-","-",""
"hsa-mir-570",MI0003577,61.4,chr3,195699401,195699497,"+","",""
"hsa-mir-571",MI0003578,18.1,chr4,350157,350252,"+","-",""
"hsa-mir-572",MI0003579,289,chr4,11368827,11368921,"+","-",""
"hsa-mir-573",MI0003580,24.3,chr4,24520192,24520290,"-","-",""
"hsa-mir-574",MI0003581,"3.48e+03",chr4,38868032,38868127,"+","",""
"hsa-mir-575",MI0003582,176,chr4,82753337,82753430,"-","-",""
"hsa-mir-576",MI0003583,356,chr4,109488698,109488795,"+","",""
"hsa-mir-577",MI0003584,114,chr4,114656759,114656854,"+","",""
"hsa-mir-578",MI0003585,17.8,chr4,165386242,165386337,"+","-",""
"hsa-mir-579",MI0003586,83,chr5,32394378,32394475,"-","",""
"hsa-mir-580",MI0003587,75,chr5,36147892,36147988,"-","-",""
"hsa-mir-581",MI0003588,12.3,chr5,53951504,53951599,"-","-",""
"hsa-mir-582",MI0003589,471,chr5,59703606,59703703,"-","",""
"hsa-mir-583",MI0003590,30.8,chr5,96079138,96079212,"+","-",""
"hsa-mir-584",MI0003591,"1.49e+03",chr5,149062313,149062409,"-","",""
"hsa-mir-585",MI0003592,115,chr5,169263601,169263694,"-","-",""
"hsa-mir-586",MI0003594,"-",chr6,45197674,45197770,"-","-",""
"hsa-mir-587",MI0003595,27.2,chr6,106784125,106784220,"+","-",""
"hsa-mir-588",MI0003597,22,chr6,126484631,126484713,"+","-",""
"hsa-mir-589",MI0003599,284,chr7,5495819,5495917,"-","",""
"hsa-mir-590",MI0003602,523,chr7,74191198,74191294,"+","",""
"hsa-mir-591",MI0003603,38.6,chr7,96219662,96219756,"-","-",""
"hsa-mir-592",MI0003604,65.3,chr7,127058088,127058184,"-","-",""
"hsa-mir-593",MI0003605,148,chr7,128081861,128081960,"+","-",""
"hsa-mir-595",MI0003607,89,chr7,158532718,158532813,"-","-",""
"hsa-mir-596",MI0003608,19.8,chr8,1817231,1817307,"+","-",""
"hsa-mir-597",MI0003609,22.5,chr8,9741672,9741768,"+","-",""
"hsa-mir-598",MI0003610,327,chr8,11035206,11035302,"-","-",""
"hsa-mir-599",MI0003611,99,chr8,99536636,99536730,"-","-",""
"hsa-mir-600",MI0003613,55.2,chr9,123111546,123111643,"-","-",""
"hsa-mir-601",MI0003614,85,chr9,123402525,123402603,"-","-",""
"hsa-mir-602",MI0003615,104,chr9,137838419,137838516,"+","-",""
"hsa-mir-603",MI0003616,66.1,chr10,24275685,24275781,"+","-",""
"hsa-mir-604",MI0003617,43.9,chr10,29545004,29545097,"-","-",""
"hsa-mir-605",MI0003618,172,chr10,51299573,51299655,"+","-",""
"hsa-mir-606",MI0003619,74,chr10,75552458,75552553,"+","-",""
"hsa-mir-607",MI0003620,33.1,chr10,96828669,96828764,"-","-",""
"hsa-mir-608",MI0003621,122,chr10,100974985,100975084,"+","-",""
"hsa-mir-609",MI0003622,43.2,chr10,104218789,104218883,"-","-",""
"hsa-mir-610",MI0003623,59.4,chr11,28056815,28056910,"+","-",""
"hsa-mir-611",MI0003624,51.4,chr11,61792495,61792561,"-","-",""
"hsa-mir-612",MI0003625,104,chr11,65444458,65444557,"+","-",""
"hsa-mir-613",MI0003626,175,chr12,12764649,12764743,"+","-",""
"hsa-mir-614",MI0003627,21.3,chr12,12915829,12915918,"+","-",""
"hsa-mir-615",MI0003628,656,chr12,54033950,54034045,"+","",""
"hsa-mir-616",MI0003629,48.4,chr12,57519163,57519259,"-","",""
"hsa-mir-617",MI0003631,44.9,chr12,80832533,80832629,"-","-",""
"hsa-mir-618",MI0003632,31.1,chr12,80935736,80935833,"-","-",""
"hsa-mir-619",MI0003633,951,chr12,108836908,108837006,"-","-",""
"hsa-mir-620",MI0003634,142,chr12,116148560,116148654,"-","-",""
"hsa-mir-621",MI0003635,233,chr13,40810766,40810861,"+","-",""
"hsa-mir-622",MI0003636,147,chr13,90231182,90231277,"+","-",""
"hsa-mir-623",MI0003637,20.2,chr13,99356131,99356228,"+","-",""
"hsa-mir-624",MI0003638,107,chr14,31014646,31014742,"-","",""
"hsa-mir-625",MI0003639,416,chr14,65471102,65471186,"+","",""
"hsa-mir-626",MI0003640,65.3,chr15,41691585,41691678,"+","-",""
"hsa-mir-627",MI0003641,109,chr15,42199570,42199666,"-","",""
"hsa-mir-628",MI0003642,153,chr15,55372940,55373034,"-","",""
"hsa-mir-629",MI0003643,571,chr15,70079372,70079468,"-","",""
"hsa-mir-630",MI0003644,0.222,chr15,72587217,72587313,"+","-",""
"hsa-mir-631",MI0003645,17.8,chr15,75353611,75353685,"-","-",""
"hsa-mir-632",MI0003647,293,chr17,32350109,32350202,"+","-",""
"hsa-mir-633",MI0003648,24.1,chr17,62944215,62944312,"+","-",""
"hsa-mir-634",MI0003649,255,chr17,66787072,66787168,"+","-",""
"hsa-mir-635",MI0003650,305,chr17,68424451,68424548,"-","-",""
"hsa-mir-636",MI0003651,"2.37e+03",chr17,76736450,76736548,"-","-",""
"hsa-mir-637",MI0003652,744,chr19,3961414,3961512,"-","-",""
"hsa-mir-638",MI0003653,227,chr19,10718404,10718503,"+","-",""
"hsa-mir-639",MI0003654,677,chr19,14529543,14529640,"+","-",""
"hsa-mir-640",MI0003655,137,chr19,19435063,19435158,"+","-",""
"hsa-mir-641",MI0003656,92.4,chr19,40282543,40282641,"-","-",""
"hsa-mir-642a",MI0003657,202,chr19,45674928,45675024,"+","",""
"hsa-mir-642b",MI0016685,172,chr19,45674932,45675008,"-","-",""
"hsa-mir-643",MI0003658,17.2,chr19,52281797,52281893,"+","-",""
"hsa-mir-644a",MI0003659,49.9,chr20,34466325,34466418,"+","-",""
"hsa-mir-645",MI0003660,21,chr20,50585786,50585879,"+","-",""
"hsa-mir-646",MI0003661,38,chr20,60308474,60308567,"+","-",""
"hsa-mir-647",MI0003662,338,chr20,63942631,63942726,"-","-",""
"hsa-mir-648",MI0003663,106,chr22,17980868,17980961,"-","-",""
"hsa-mir-649",MI0003664,46.1,chr22,21034176,21034272,"-","-",""
"hsa-mir-650",MI0003665,109,chr22,22822776,22822871,"+","-",""
"hsa-mir-651",MI0003666,168,chrX,8126965,8127061,"+","",""
"hsa-mir-652",MI0003667,"1.58e+03",chrX,110055329,110055426,"+","",""
"hsa-mir-653",MI0003674,109,chr7,93482760,93482855,"-","-",""
"hsa-mir-654",MI0003676,227,chr14,101040219,101040299,"+","",""
"hsa-mir-655",MI0003677,222,chr14,101049550,101049646,"+","-",""
"hsa-mir-656",MI0003678,73.9,chr14,101066724,101066801,"+","-",""
"hsa-mir-657",MI0003681,130,chr17,81125276,81125373,"-","-",""
"hsa-mir-658",MI0003682,96.1,chr22,37844272,37844371,"-","-",""
"hsa-mir-659",MI0003683,57.9,chr22,37847678,37847774,"-","-",""
"hsa-mir-660",MI0003684,"1.22e+03",chrX,50013241,50013337,"+","",""
"hsa-mir-661",MI0003669,65.4,chr8,143945191,143945279,"-","-",""
"hsa-mir-662",MI0003670,65.2,chr16,770183,770277,"+","-",""
"hsa-mir-663a",MI0003672,654,chr20,26208186,26208278,"-","-",""
"hsa-mir-663b",MI0006336,286,chr2,132256966,132257080,"-","-",""
"hsa-mir-664a",MI0006442,979,chr1,220200538,220200619,"-","-",""
"hsa-mir-664b",MI0019134,198,chrX,154768596,154768656,"+","",""
"hsa-mir-665",MI0005563,225,chr14,100875033,100875104,"+","-",""
"hsa-mir-668",MI0003761,12.7,chr14,101055258,101055323,"+","-",""
"hsa-mir-670",MI0003933,26.6,chr11,43559656,43559753,"+","-",""
"hsa-mir-671",MI0003760,589,chr7,151238421,151238538,"+","",""
"hsa-mir-675",MI0005416,"1.31e+03",chr11,1996759,1996831,"-","",""
"hsa-mir-676",MI0016436,42.4,chrX,70022857,70022923,"+","-",""
"hsa-mir-708",MI0005543,943,chr11,79402022,79402109,"-","",""
"hsa-mir-711",MI0012488,68.4,chr3,48578902,48578977,"-","-",""
"hsa-mir-718",MI0012489,236,chrX,154019920,154019989,"-","-",""
"hsa-mir-744",MI0005559,"1.22e+03",chr17,12081899,12081996,"+","",""
"hsa-mir-758",MI0003757,212,chr14,101026020,101026107,"+","",""
"hsa-mir-759",MI0004065,71.6,chr13,52810050,52810140,"+","-",""
"hsa-mir-760",MI0005567,753,chr1,93846832,93846911,"+","-",""
"hsa-mir-761",MI0003941,164,chr1,51836344,51836402,"-","-",""
"hsa-mir-762",MI0003892,192,chr16,30893903,30893985,"+","-",""
"hsa-mir-764",MI0003944,47.3,chrX,114639435,114639519,"+","-",""
"hsa-mir-765",MI0005116,188,chr1,156936131,156936244,"-","-",""
"hsa-mir-766",MI0003836,503,chrX,119646738,119646848,"-","",""
"hsa-mir-767",MI0003763,283,chrX,152393421,152393529,"-","",""
"hsa-mir-769",MI0003834,243,chr19,46018932,46019049,"+","",""
"hsa-mir-770",MI0005118,46.7,chr14,100852390,100852487,"+","-",""
"hsa-mir-802",MI0003906,40.1,chr21,35720715,35720808,"+","-",""
"hsa-mir-873",MI0005564,316,chr9,28888879,28888955,"-","",""
"hsa-mir-874",MI0005532,494,chr5,137647572,137647649,"-","",""
"hsa-mir-875",MI0005541,60.4,chr8,99536786,99536861,"-","-",""
"hsa-mir-876",MI0005542,368,chr9,28863626,28863706,"-","",""
"hsa-mir-877",MI0005561,888,chr6,30584332,30584417,"+","-",""
"hsa-mir-885",MI0005560,184,chr3,10394489,10394562,"-","",""
"hsa-mir-887",MI0005562,343,chr5,15935182,15935260,"+","",""
"hsa-mir-888",MI0005537,7.45,chrX,145994784,145994860,"-","-",""
"hsa-mir-889",MI0005540,178,chr14,101047901,101047979,"+","-",""
"hsa-mir-890",MI0005533,33.8,chrX,145994275,145994351,"-","-",""
"hsa-mir-891a",MI0005524,38.9,chrX,146027794,146027872,"-","-",""
"hsa-mir-891b",MI0005534,16.1,chrX,146001053,146001131,"-","-",""
"hsa-mir-892a",MI0005528,0.506,chrX,145996669,145996743,"-","-",""
"hsa-mir-892b",MI0005538,32.3,chrX,145997198,145997274,"-","-",""
"hsa-mir-892c",MI0022560,287,chrX,145992750,145992826,"-","-",""
"hsa-mir-920",MI0005712,37.5,chr12,24212421,24212495,"+","-",""
"hsa-mir-921",MI0005713,33.8,chr1,166154743,166154798,"-","-",""
"hsa-mir-922",MI0005714,166,chr3,197674496,197674576,"-","-",""
"hsa-mir-924",MI0005716,372,chr18,39622123,39622175,"-","-",""
"hsa-mir-933",MI0005755,31.1,chr2,175167633,175167709,"-","-",""
"hsa-mir-934",MI0005756,202,chrX,136550878,136550960,"+","-",""
"hsa-mir-935",MI0005757,873,chr19,53982307,53982397,"+","-",""
"hsa-mir-936",MI0005758,36.2,chr10,104048089,104048186,"-","-",""
"hsa-mir-937",MI0005759,59.1,chr8,143812957,143813042,"-","-",""
"hsa-mir-938",MI0005760,30.3,chr10,29602264,29602346,"-","-",""
"hsa-mir-939",MI0005761,92.7,chr8,144394149,144394230,"-","-",""
"hsa-mir-940",MI0005762,321,chr16,2271747,2271840,"+","-",""
"hsa-mir-941-1",MI0005763,601,chr20,63919449,63919520,"+","-",""
"hsa-mir-941-2",MI0005764,611,chr20,63919505,63919576,"+","-",""
"hsa-mir-941-3",MI0005765,591,chr20,63919561,63919632,"+","-",""
"hsa-mir-941-4",MI0005766,590,chr20,63919756,63919827,"+","-",""
"hsa-mir-941-5",MI0031520,280,chr20,63919868,63919939,"+","",""
"hsa-mir-942",MI0005767,208,chr1,117094643,117094728,"+","",""
"hsa-mir-943",MI0005768,16.1,chr4,1986384,1986477,"-","-",""
"hsa-mir-944",MI0005769,864,chr3,189829922,189830009,"+","-",""
"hsa-mir-1178",MI0006271,117,chr12,119713634,119713724,"-","-",""
"hsa-mir-1179",MI0006272,133,chr15,88608107,88608197,"+","-",""
"hsa-mir-1180",MI0006273,631,chr17,19344506,19344574,"-","-",""
"hsa-mir-1181",MI0006274,258,chr19,10403458,10403538,"-","-",""
"hsa-mir-1182",MI0006275,164,chr1,231019828,231019924,"-","-",""
"hsa-mir-1183",MI0006276,78.1,chr7,21471058,21471146,"+","-",""
"hsa-mir-1184-1",MI0006277,248,chrX,154887360,154887458,"-","-",""
"hsa-mir-1184-2",MI0015971,247,chrX,155383100,155383198,"-","-",""
"hsa-mir-1184-3",MI0015972,247,chrX,155457517,155457615,"+","-",""
"hsa-mir-1185-1",MI0003844,223,chr14,101042977,101043062,"+","",""
"hsa-mir-1185-2",MI0003821,243,chr14,101044198,101044283,"+","",""
"hsa-mir-1193",MI0014205,77.8,chr14,101030052,101030129,"+","-",""
"hsa-mir-1197",MI0006656,31.6,chr14,101025564,101025651,"+","-",""
"hsa-mir-1199",MI0020340,0.171,chr19,14073361,14073479,"+","-",""
"hsa-mir-1200",MI0006332,7.19,chr7,36919357,36919432,"-","-",""
"hsa-mir-1202",MI0006334,81.2,chr6,155946797,155946879,"+","-",""
"hsa-mir-1203",MI0006335,329,chr17,48156427,48156511,"-","-",""
"hsa-mir-1204",MI0006337,22.3,chr8,127795962,127796028,"+","-",""
"hsa-mir-1205",MI0006338,67.8,chr8,127960633,127960695,"+","-",""
"hsa-mir-1206",MI0006339,"-",chr8,128008898,128008956,"+","-",""
"hsa-mir-1207",MI0006340,106,chr8,128049152,128049238,"+","-",""
"hsa-mir-1208",MI0006341,37,chr8,128150116,128150188,"+","-",""
"hsa-mir-1224",MI0003764,222,chr3,184241405,184241489,"+","-",""
"hsa-mir-1225",MI0006311,111,chr16,2090195,2090284,"-","-",""
"hsa-mir-1226",MI0006313,105,chr3,47849555,47849629,"+","-",""
"hsa-mir-1227",MI0006316,32.6,chr19,2234062,2234149,"-","-",""
"hsa-mir-1228",MI0006318,160,chr12,57194504,57194576,"+","-",""
"hsa-mir-1229",MI0006319,45.2,chr5,179798278,179798346,"-","-",""
"hsa-mir-1231",MI0006321,549,chr1,201808611,201808702,"+","-",""
"hsa-mir-1233-1",MI0006323,114,chr15,34382069,34382150,"-","-",""
"hsa-mir-1233-2",MI0015973,119,chr15,34528290,34528371,"-","-",""
"hsa-mir-1234",MI0006324,1.38,chr8,144400086,144400165,"-","-",""
"hsa-mir-1236",MI0006326,49.7,chr6,31956839,31956940,"-","-",""
"hsa-mir-1237",MI0006327,485,chr11,64368602,64368703,"+","-",""
"hsa-mir-1238",MI0006328,79.4,chr19,10552122,10552204,"+","-",""
"hsa-mir-1243",MI0006373,101,chr4,113106863,113106955,"+","-",""
"hsa-mir-1244-1",MI0006379,84.3,chr2,231713314,231713398,"+","-",""
"hsa-mir-1244-2",MI0015974,92.3,chr5,118974586,118974670,"+","-",""
"hsa-mir-1244-3",MI0015975,92.5,chr12,9239467,9239551,"-","-",""
"hsa-mir-1244-4",MI0031511,9.93,chr12,12111952,12112036,"+","-",""
"hsa-mir-1245a",MI0006380,43.2,chr2,188978092,188978161,"+","-",""
"hsa-mir-1245b",MI0017431,25.7,chr2,188978093,188978161,"-","-",""
"hsa-mir-1246",MI0006381,"9.16e+03",chr2,176600980,176601052,"-","-",""
"hsa-mir-1247",MI0006382,540,chr14,101560287,101560422,"-","-",""
"hsa-mir-1248",MI0006383,166,chr3,186786672,186786777,"+","-",""
"hsa-mir-1249",MI0006384,247,chr22,45200954,45201019,"-","",""
"hsa-mir-1250",MI0006385,19.4,chr17,81133196,81133308,"-","-",""
"hsa-mir-1251",MI0006386,19.8,chr12,97491909,97491978,"+","-",""
"hsa-mir-1252",MI0006434,41.4,chr12,79419257,79419321,"+","-",""
"hsa-mir-1253",MI0006387,"4.8e+03",chr17,2748078,2748182,"-","-",""
"hsa-mir-1254-1",MI0006388,397,chr10,68759318,68759414,"+","-",""
"hsa-mir-1254-2",MI0016747,210,chr10,23393405,23393467,"+","-",""
"hsa-mir-1255a",MI0006389,281,chr4,101330302,101330414,"-","-",""
"hsa-mir-1255b-1",MI0006435,242,chr4,36426366,36426428,"-","-",""
"hsa-mir-1255b-2",MI0006436,192,chr1,167998660,167998726,"+","-",""
"hsa-mir-1256",MI0006390,25.6,chr1,20988314,20988432,"-","-",""
"hsa-mir-1257",MI0006391,49.2,chr20,61953546,61953662,"-","-",""
"hsa-mir-1258",MI0006392,22.4,chr2,179860836,179860908,"-","-",""
"hsa-mir-1260a",MI0006394,"2.05e+03",chr14,77266218,77266290,"+","-",""
"hsa-mir-1260b",MI0014197,"2.02e+03",chr11,96341438,96341526,"+","-",""
